"","IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
"335",48321,9,47,4700,4700,4700,"25.2839425535209",28,22,0,2,3,9,1,0,"2","2","0","2",42,0,42,0,0,42,0,23,23,23,13,"582848","119039","0","6534","170954","111520","168595","500509","561944","597011","35067","1740","563684","201318","165886","222213","84522","-15677","68845","34921","103766","778650","507724","464069","828662","38","8861","23650","91369","7585","12708","15951","42815","1761","18555","35432","1693","3809","17099",0,"2564","0","1471","0","0","16221","45"
"336",48323,10,45,4500,4500,4500,"26.2721720975498",28,1,0,2,0,5,1,1,"1","3","2.56","3.56",47,0,47,0,0,47,1,22,23,23,18,"778429","32501","0","400","214536","118930","371770","625191","681190","688948","7758","41558","722748","244537","214495","200464","92293","-15824","76469","5767","82236","825844","359907","326775","872684","3730","15853","14366","129474","6710","8571","16835","58008","8849","14680","30042","0","0","11290",0,"7564","828","1324","46845","6585","15498","1822"
"337",48324,9,47,4700,4700,4700,"25.2839425535209",28,22,0,3,3,6,2,0,"2","2","0","2",43,0,43,0,0,43,0,26,26,26,25,"312091","14749","0","0","95250","2000","168859","306075","392968","394034","1066","5700","398668","63479","33222","114978","77126","-5218","71908","962","72870","703694","308663","532204","480153","0","8126","3864","58864","8743","4107","15697","34555","22562","3105","30257","0","910","8455",0,"2145","0","1190","0","0","5968","359"
"338",48325,9,74,7420,5374,5074,"12.8985740215173",28,22,0,4,3,7,1,0,"1","1","0","1",12,0,12,0,0,46,3,14,15,15,9,"282690","40680","0","3060","166643","28003","0","227168","267627","273230","5603","3341","270968","39920","25280","62507","19458","-12926","6532","5602","12134","545426","85900","148570","482756","0","2801","7847","94450","225","1723","5129","28423","805","3913","14640","0","1665","7550",0,"1176","367","789","0","0","9003","4037"
"339",48326,10,45,4500,4500,4500,"26.2721720975498",28,1,0,4,0,6,1,0,"2","2","1.35","3.35",38,0,38,0,0,47,2,25,26,26,23,"813846","61376","0","-4440","301959","98603","350568","1890073","1955565","1955870","305","12897","1968462","164342","131712","140813","42733","-16528","26205","305","26510","2073865","1111723","346491","2856389","2428","19993","10321","228262","0","2809","22705","55592","1715","26340","32630","3672","4078","17482",0,"7055","105","9554","26312","3717","19906","1738"
"340",48327,9,73,7310,6184,6184,"36.4083617176187",28,22,0,2,2,5,1,0,"2","2","0.44","2.44",35,0,35,0,0,46,0,18,18,18,15,"542659","19245","0","-500","287624","49447","223478","532236","565099","567504","2405","11613","576712","141339","126084","146981","66670","-7274","59396","2405","61801","739566","387701","470531","656736","11600","11349","5447","220168","6860","15803","12961","34446","5898","8336","15255","448","0","16017",0,"2519","0","2458","5408","1064","5521","2174"
"341",48328,8,50,5220,5200,5074,"13.4400290577933",28,1,0,2,3,4,1,0,"1","1","0","1",11,0,11,0,0,41,4,5,8,8,6,"137098","7480","0","1330","115017","5200","0","137222","154691.65","155037.65","346","1500","156191.65","41127","37921","54012.65","15552.65","-15442","110.65","346","456.65","479647","42128","5946","515829","0","1939","1959","4305","0","4896","4545","37571","3721","2457","3206","318","0","6215",0,"300","510","362","0","0","13939","1546"
"342",48329,9,28,2821,2800,2829,"21.7267024092298",28,1,0,3,3,6,1,2,"2","6","5","7",0,0,0,0,0,0,0,5,5,5,0,"719726","59326","674735","0","0","0","0","735326","750410.98","752610.98","2200","0","750410.98","403883","385115","277811.98","185834.98","-7098","178736.98","1756","180492","362649","259957","139048","484769","11139","87328","20525","0","0","0","16932","84206","2286","19672","18768","206","0","15170",0,"0","0","4121","102080","15873","5412","1828"
"343",48330,7,28,2821,2800,2829,"14.9491004788435",28,1,0,3,3,4,1,1,"1","3","2","3",0,0,0,0,0,0,1,2,3,3,2,"118557","0","110314","0","0","0","0","118557","124938.08","132259.08","7321","0","124938.08","66155","65211","40813.08","20011.08","-2298","17713.08","2807","20520.08","150562","33006","65499","118069","0","9046","283","0","0","0","1556","18480","520","4352","944","0","0","3784",0,"0","0","295","28610","1782","2340","13"
"344",48331,9,50,5210,5200,5074,"3.28989801751319",28,22,0,3,3,6,1,1,"2","4","2","4",25,0,25,0,0,47,1,14,14,14,14,"717293","-3230","0","0","-61684","123694","680804","626670","680363","696225","15862","0","680363","162468","148857","141438","16104","-16116","-12","15862","15850","1160547","153812","366261","950896","0","180","96","363522","0","13365","9046","58248","4349","4320","13611","76","0","14858",0,"1364","57","2374","46601","8476","12390","4011"
"345",48332,8,50,5220,5200,5074,"13.4400290577933",28,1,0,3,3,5,1,0,"1","1","0","1",0,0,0,0,0,28,1,1,2,2,2,"117627","0","0","0","91596","18147","0","99480","103680","107355","3675","0","103680","15061","14410","16957","160","-3845","-3685","3675","-10","183889","40716","44419","180186","0","0","0","69571","0","913","0","4283","565","449","651","0","0","3078",0,"1301","66","220","0","0","3602","259"
"346",48333,9,45,4500,4500,4500,"42.6481373060645",28,22,0,3,3,4,1,1,"1","2","1","2",37,0,37,0,0,37,1,17,17,17,15,"427258","491","0","1200","78284","37400","321349","404401","451464.82","466999.82","15535","30840","482304.82","103368","81324","96019.82","37164.82","-12810","24354.82","5466","29817","754653","279530","194253","839930","0","11474","4820","98378","0","12155","13498","46290","4541","20232","22044","0","0","8389",0,"899","15","903","26799","3340","11624","1597"
